query_path,nearest_ref_path,nn_lpips
dataset_v3_patches/test/Cable/普通样片_5_7G_棉纱_绞花_JH2023-43_1711003827545_y000.jpg,dataset_v3_patches/train/Cable/普通样片_5_7G_棉纱_绞花_JH2023-42_1711003929305_y292_aug2.jpg,0.084101
dataset_v3_patches/test/Cable/普通样片_5_7G_棉纱_绞花_JH2023-43_1711003827545_y073.jpg,dataset_v3_patches/train/Cable/普通样片_5_7G_棉纱_绞花_JH2023-42_1711003929305_y219_aug1.jpg,0.078488
dataset_v3_patches/test/Cable/普通样片_5_7G_棉纱_绞花_JH2023-43_1711003827545_y146.jpg,dataset_v3_patches/train/Cable/普通样片_5_7G_棉纱_绞花_JH2023-42_1711003929305_y292_aug1.jpg,0.073008
dataset_v3_patches/test/Cable/普通样片_5_7G_棉纱_绞花_JH2023-43_1711003827545_y219.jpg,dataset_v3_patches/train/Cable/普通样片_5_7G_棉纱_绞花_JH2023-42_1711003929305_y294.jpg,0.071269
dataset_v3_patches/test/Cable/普通样片_5_7G_棉纱_绞花_JH2023-43_1711003827545_y292.jpg,dataset_v3_patches/train/Cable/普通样片_5_7G_棉纱_绞花_JH2023-42_1711003929305_y292_aug1.jpg,0.068890
dataset_v3_patches/test/Cable/普通样片_5_7G_棉纱_绞花_JH2023-43_1711003827545_y294.jpg,dataset_v3_patches/train/Cable/普通样片_5_7G_棉纱_绞花_JH2023-41_1710404005709_y294_aug2.jpg,0.068765
dataset_v3_patches/test/Links/14G_提花_普通样片_棉纱_JT2022-9_1652402424527_y000.jpg,dataset_v3_patches/train/Miss/普通样片_7G_棉纱_吊线_DX2023-45_1709974595139_y073_aug1.jpg,0.261064
dataset_v3_patches/test/Links/14G_提花_普通样片_棉纱_JT2022-9_1652402424527_y073.jpg,dataset_v3_patches/train/Miss/普通样片_7G_棉纱_吊线_DX2023-45_1709974595139_y073_aug1.jpg,0.209316
dataset_v3_patches/test/Links/14G_提花_普通样片_棉纱_JT2022-9_1652402424527_y146.jpg,dataset_v3_patches/train/Miss/普通样片_7G_棉纱_吊线_DX2023-45_1709974595139_y073_aug1.jpg,0.191254
dataset_v3_patches/test/Links/14G_提花_普通样片_棉纱_JT2022-9_1652402424527_y219.jpg,dataset_v3_patches/train/Miss/普通样片_7G_棉纱_吊线_DX2023-45_1709974595139_y292_aug2.jpg,0.250070
dataset_v3_patches/test/Links/14G_提花_普通样片_棉纱_JT2022-9_1652402424527_y292.jpg,dataset_v3_patches/train/Miss/普通样片_7G_棉纱_吊线_DX2023-45_1709974595139_y073_aug1.jpg,0.274859
dataset_v3_patches/test/Links/14G_提花_普通样片_棉纱_JT2022-9_1652402424527_y294.jpg,dataset_v3_patches/train/Miss/普通样片_7G_棉纱_吊线_DX2023-45_1709974595139_y073_aug1.jpg,0.276498
dataset_v3_patches/test/Links/5_7G_嵌花_普通样片_多区域嵌花_棉纱_QH2022-15_1655174141458_y000.jpg,dataset_v3_patches/train/Links/__QH2020-3_1650250388946_y073.jpg,0.318341
dataset_v3_patches/test/Links/5_7G_嵌花_普通样片_多区域嵌花_棉纱_QH2022-15_1655174141458_y073.jpg,dataset_v3_patches/train/Links/普通样片_5_7G_嵌花_棉纱_QH2022-16_1658108917313_y292_aug2.jpg,0.317761
dataset_v3_patches/test/Links/5_7G_嵌花_普通样片_多区域嵌花_棉纱_QH2022-15_1655174141458_y146.jpg,dataset_v3_patches/train/Links/普通样片_5_7G_嵌花_棉纱_QH2022-16_1658108917313_y292_aug1.jpg,0.315046
dataset_v3_patches/test/Links/5_7G_嵌花_普通样片_多区域嵌花_棉纱_QH2022-15_1655174141458_y219.jpg,dataset_v3_patches/train/Links/普通样片_5_7G_嵌花_棉纱_QH2022-16_1658108917313_y219_aug2.jpg,0.319000
dataset_v3_patches/test/Links/5_7G_嵌花_普通样片_多区域嵌花_棉纱_QH2022-15_1655174141458_y292.jpg,dataset_v3_patches/train/Links/__QH2020-3_1650250388946_y294.jpg,0.319143
dataset_v3_patches/test/Links/5_7G_嵌花_普通样片_多区域嵌花_棉纱_QH2022-15_1655174141458_y294.jpg,dataset_v3_patches/train/Links/__QH2020-3_1650250388946_y294.jpg,0.319953
dataset_v3_patches/test/Links/__FT2022-1_1650511348529_y000.jpg,dataset_v3_patches/train/Move/普通样片_其他_其它_5_7G_样片_包芯纱_摇床_无_吊目_YC2023-6_1686886362786_y073_aug1.jpg,0.284028
dataset_v3_patches/test/Links/__FT2022-1_1650511348529_y073.jpg,dataset_v3_patches/train/Move/普通样片_其他_其它_5_7G_样片_包芯纱_摇床_无_吊目_YC2023-6_1686886362786_y000_aug1.jpg,0.280312
dataset_v3_patches/test/Links/__FT2022-1_1650511348529_y146.jpg,dataset_v3_patches/train/Move/普通样片_其他_其它_5_7G_样片_包芯纱_摇床_无_吊目_YC2023-6_1686886362786_y073_aug1.jpg,0.288804
dataset_v3_patches/test/Links/__FT2022-1_1650511348529_y219.jpg,dataset_v3_patches/train/Links/__FT2022-6_1650678777294_y294_aug2.jpg,0.284673
dataset_v3_patches/test/Links/__FT2022-1_1650511348529_y292.jpg,dataset_v3_patches/train/Move/普通样片_其他_其它_5_7G_样片_包芯纱_摇床_无_YC2024-2_1723106897261_y073_aug1.jpg,0.278802
dataset_v3_patches/test/Links/__FT2022-1_1650511348529_y294.jpg,dataset_v3_patches/train/Move/普通样片_其他_其它_5_7G_样片_包芯纱_摇床_无_YC2024-2_1723106897261_y073_aug1.jpg,0.278197
dataset_v3_patches/test/Links/__QH2022-12_1655168139184_y000.jpg,dataset_v3_patches/train/Cable/普通样片_5_7G_棉纱_绞花_JH2023-41_1710404005709_y292_aug2.jpg,0.238330
dataset_v3_patches/test/Links/__QH2022-12_1655168139184_y073.jpg,dataset_v3_patches/train/Tuck/5_7G_凹凸彩纹_沉降片性能_鼓包_样片_包芯纱_GB2023-4_1683603291504_y219_aug2.jpg,0.272586
dataset_v3_patches/test/Links/__QH2022-12_1655168139184_y146.jpg,dataset_v3_patches/train/Tuck/5_7G_凹凸彩纹_沉降片性能_鼓包_样片_包芯纱_GB2023-4_1683603291504_y073_aug2.jpg,0.295602
dataset_v3_patches/test/Links/__QH2022-12_1655168139184_y219.jpg,dataset_v3_patches/train/Tuck/5_7G_凹凸彩纹_沉降片性能_鼓包_样片_包芯纱_GB2023-4_1683603291504_y219_aug1.jpg,0.297091
dataset_v3_patches/test/Links/__QH2022-12_1655168139184_y292.jpg,dataset_v3_patches/train/Tuck/5_7G_凹凸彩纹_沉降片性能_鼓包_样片_包芯纱_GB2023-4_1683603291504_y073_aug2.jpg,0.283244
dataset_v3_patches/test/Links/__QH2022-12_1655168139184_y294.jpg,dataset_v3_patches/train/Tuck/5_7G_凹凸彩纹_沉降片性能_鼓包_样片_包芯纱_GB2023-4_1683603291504_y073_aug2.jpg,0.283264
dataset_v3_patches/test/Links/普通样片_14G_凹凸彩纹_填充_包芯纱_TC2022-4_1652921654686_y000.jpg,dataset_v3_patches/train/Links/12G_普通样片_包芯纱_提花_TH2023-13_1696491245614_y294_aug1.jpg,0.348599
dataset_v3_patches/test/Links/普通样片_14G_凹凸彩纹_填充_包芯纱_TC2022-4_1652921654686_y073.jpg,dataset_v3_patches/train/Links/普通样片_14G_凹凸彩纹_填充_棉纱_TC2022-1_1652920572845_y073_aug2.jpg,0.346950
dataset_v3_patches/test/Links/普通样片_14G_凹凸彩纹_填充_包芯纱_TC2022-4_1652921654686_y146.jpg,dataset_v3_patches/train/Miss/普通样片_5_7G_衬纬_棉纱_CW2023-11_1686281626307_y000.jpg,0.348610
dataset_v3_patches/test/Links/普通样片_14G_凹凸彩纹_填充_包芯纱_TC2022-4_1652921654686_y219.jpg,dataset_v3_patches/train/Links/12G_普通样片_包芯纱_提花_TH2023-13_1696491245614_y073_aug2.jpg,0.344506
dataset_v3_patches/test/Links/普通样片_14G_凹凸彩纹_填充_包芯纱_TC2022-4_1652921654686_y292.jpg,dataset_v3_patches/train/Miss/普通样片_5_7G_衬纬_棉纱_CW2023-11_1686281626307_y146.jpg,0.342658
dataset_v3_patches/test/Links/普通样片_14G_凹凸彩纹_填充_包芯纱_TC2022-4_1652921654686_y294.jpg,dataset_v3_patches/train/Miss/普通样片_5_7G_衬纬_棉纱_CW2023-11_1686281626307_y146.jpg,0.343337
dataset_v3_patches/test/Links/普通样片_14G_双曲线_局部提花_JT2024-1_1716167957297_y000.jpg,dataset_v3_patches/train/Cable/7G_普通样片_包芯纱_绞花_JH2023-18_1691204246017_y292_aug2.jpg,0.156756
dataset_v3_patches/test/Links/普通样片_14G_双曲线_局部提花_JT2024-1_1716167957297_y073.jpg,dataset_v3_patches/train/Cable/7G_普通样片_包芯纱_绞花_JH2023-18_1691204246017_y292_aug2.jpg,0.264014
dataset_v3_patches/test/Links/普通样片_14G_双曲线_局部提花_JT2024-1_1716167957297_y146.jpg,dataset_v3_patches/train/Cable/7G_普通样片_包芯纱_绞花_JH2023-18_1691204246017_y292_aug2.jpg,0.330256
dataset_v3_patches/test/Links/普通样片_14G_双曲线_局部提花_JT2024-1_1716167957297_y219.jpg,dataset_v3_patches/train/Cable/7G_普通样片_包芯纱_绞花_JH2023-18_1691204246017_y292_aug2.jpg,0.346855
dataset_v3_patches/test/Links/普通样片_14G_双曲线_局部提花_JT2024-1_1716167957297_y292.jpg,dataset_v3_patches/train/Cable/7G_普通样片_包芯纱_绞花_JH2023-18_1691204246017_y292_aug2.jpg,0.348990
dataset_v3_patches/test/Links/普通样片_14G_双曲线_局部提花_JT2024-1_1716167957297_y294.jpg,dataset_v3_patches/train/Cable/7G_普通样片_包芯纱_绞花_JH2023-18_1691204246017_y292_aug2.jpg,0.348634
dataset_v3_patches/test/Links/普通样片_14G_填充_凹凸彩纹_包芯纱_TC2022-2_1652920798570_y000.jpg,dataset_v3_patches/train/Cable/__JH2023-4_1678432161668_y000_aug1.jpg,0.122136
dataset_v3_patches/test/Links/普通样片_14G_填充_凹凸彩纹_包芯纱_TC2022-2_1652920798570_y073.jpg,dataset_v3_patches/train/Cable/__JH2023-4_1678432161668_y000_aug1.jpg,0.124156
dataset_v3_patches/test/Links/普通样片_14G_填充_凹凸彩纹_包芯纱_TC2022-2_1652920798570_y146.jpg,dataset_v3_patches/train/Cable/__JH2023-4_1678432161668_y000_aug1.jpg,0.121109
dataset_v3_patches/test/Links/普通样片_14G_填充_凹凸彩纹_包芯纱_TC2022-2_1652920798570_y219.jpg,dataset_v3_patches/train/Cable/__JH2023-4_1678432161668_y000_aug1.jpg,0.113968
dataset_v3_patches/test/Links/普通样片_14G_填充_凹凸彩纹_包芯纱_TC2022-2_1652920798570_y292.jpg,dataset_v3_patches/train/Cable/__JH2023-4_1678432161668_y292_aug2.jpg,0.106344
dataset_v3_patches/test/Links/普通样片_14G_填充_凹凸彩纹_包芯纱_TC2022-2_1652920798570_y294.jpg,dataset_v3_patches/train/Cable/__JH2023-4_1678432161668_y292_aug2.jpg,0.106970
dataset_v3_patches/test/Links/普通样片_14G_局编_羊毛_JB2023-7_1690940797975_y000.jpg,dataset_v3_patches/train/Miss/普通样片_5_7G_棉纱_局编_JB2024-10_1733388821957_y294_aug1.jpg,0.204115
dataset_v3_patches/test/Links/普通样片_14G_局编_羊毛_JB2023-7_1690940797975_y073.jpg,dataset_v3_patches/train/Miss/普通样片_5_7G_棉纱_局编_JB2024-10_1733388821957_y294_aug1.jpg,0.184753
dataset_v3_patches/test/Links/普通样片_14G_局编_羊毛_JB2023-7_1690940797975_y146.jpg,dataset_v3_patches/train/Miss/普通样片_5_7G_棉纱_局编_JB2024-10_1733388821957_y294_aug1.jpg,0.174664
