query_path,nearest_ref_path,nn_lpips
evaluation_results/fined_v2.2_classaware_rank2_mem8_12_best_cfg4.5/generated_images_for_fid/class000_Cable_00038_g00213.png,dataset_v3_patches/train/Miss/普通样片_14G_棉纱_浮线_FX2023-32_1709367593925_y146.jpg,0.119388
evaluation_results/fined_v2.2_classaware_rank2_mem8_12_best_cfg4.5/generated_images_for_fid/class000_Cable_00040_g00217.png,dataset_v3_patches/train/Cable/普通样片_5_7G_棉纱_绞花_JH2023-41_1710404005709_y292.jpg,0.050026
evaluation_results/fined_v2.2_classaware_rank2_mem8_12_best_cfg4.5/generated_images_for_fid/class000_Cable_00044_g00254.png,dataset_v3_patches/train/Mesh/__TK2022-8_1663644816160_y219.jpg,0.158576
evaluation_results/fined_v2.2_classaware_rank2_mem8_12_best_cfg4.5/generated_images_for_fid/class000_Cable_00046_g00259.png,dataset_v3_patches/train/Cable/__JH2022-1_1648086212174_y000_aug2.jpg,0.197144
evaluation_results/fined_v2.2_classaware_rank2_mem8_12_best_cfg4.5/generated_images_for_fid/class000_Cable_00047_g00261.png,dataset_v3_patches/train/Cable/普通样片_5_7G_棉纱_绞花_JH2023-42_1711003929305_y292_aug2.jpg,0.048748
evaluation_results/fined_v2.2_classaware_rank2_mem8_12_best_cfg4.5/generated_images_for_fid/class000_Cable_00048_g00264.png,dataset_v3_patches/train/Cable/__JH2022-5_1654911357028_y073_aug2.jpg,0.304131
evaluation_results/fined_v2.2_classaware_rank2_mem8_12_best_cfg4.5/generated_images_for_fid/class000_Cable_00049_g00267.png,dataset_v3_patches/train/Cable/普通样片_5_7G_棉纱_绞花_JH2023-42_1711003929305_y219_aug2.jpg,0.235580
evaluation_results/fined_v2.2_classaware_rank2_mem8_12_best_cfg4.5/generated_images_for_fid/class000_Cable_00050_g00274.png,dataset_v3_patches/train/Cable/__JH2023-6_1678431869115_y219_aug2.jpg,0.204809
evaluation_results/fined_v2.2_classaware_rank2_mem8_12_best_cfg4.5/generated_images_for_fid/class000_Cable_00051_g00280.png,dataset_v3_patches/train/Cable/普通样片_5_7G_棉纱_绞花_JH2023-41_1710404005709_y000_aug1.jpg,0.047468
evaluation_results/fined_v2.2_classaware_rank2_mem8_12_best_cfg4.5/generated_images_for_fid/class000_Cable_00053_g00290.png,dataset_v3_patches/train/Cable/普通样片_5_7G_棉纱_绞花_JH2023-41_1710404005709_y292_aug2.jpg,0.052928
evaluation_results/fined_v2.2_classaware_rank2_mem8_12_best_cfg4.5/generated_images_for_fid/class000_Cable_00054_g00294.png,dataset_v3_patches/train/Cable/__JH2023-4_1678432161668_y292_aug1.jpg,0.048567
evaluation_results/fined_v2.2_classaware_rank2_mem8_12_best_cfg4.5/generated_images_for_fid/class000_Cable_00056_g00300.png,dataset_v3_patches/train/Cable/普通样片_5_7G_棉纱_绞花_JH2023-41_1710404005709_y292_aug2.jpg,0.054159
evaluation_results/fined_v2.2_classaware_rank2_mem8_12_best_cfg4.5/generated_images_for_fid/class000_Cable_00057_g00305.png,dataset_v3_patches/train/Mesh/普通样片_12G_包芯纱_空起_KQ2024-7_1728438688722_y219_aug1.jpg,0.235366
evaluation_results/fined_v2.2_classaware_rank2_mem8_12_best_cfg4.5/generated_images_for_fid/class000_Cable_00058_g00306.png,dataset_v3_patches/train/Move/普通样片_5_7G_移针_棉纱_YZ2022-4_1655270162706_y294_aug2.jpg,0.330938
evaluation_results/fined_v2.2_classaware_rank2_mem8_12_best_cfg4.5/generated_images_for_fid/class000_Cable_00059_g00317.png,dataset_v3_patches/train/Cable/__JH2023-5_1678431985670_y292_aug2.jpg,0.140436
evaluation_results/fined_v2.2_classaware_rank2_mem8_12_best_cfg4.5/generated_images_for_fid/class000_Cable_00060_g00318.png,dataset_v3_patches/train/Cable/普通样片_5_7G_棉纱_绞花_JH2023-41_1710404005709_y294_aug2.jpg,0.066719
evaluation_results/fined_v2.2_classaware_rank2_mem8_12_best_cfg4.5/generated_images_for_fid/class000_Cable_00061_g00322.png,dataset_v3_patches/train/Cable/__JH2022-3_1654909471245_y073_aug2.jpg,0.052288
evaluation_results/fined_v2.2_classaware_rank2_mem8_12_best_cfg4.5/generated_images_for_fid/class000_Cable_00063_g00326.png,dataset_v3_patches/train/Cable/__JH2023-4_1678432161668_y294_aug1.jpg,0.050452
evaluation_results/fined_v2.2_classaware_rank2_mem8_12_best_cfg4.5/generated_images_for_fid/class000_Cable_00064_g00332.png,dataset_v3_patches/train/Miss/普通样片_7G_浮线_包芯纱_FX2022-4_1654823027349_y146_aug2.jpg,0.180669
evaluation_results/fined_v2.2_classaware_rank2_mem8_12_best_cfg4.5/generated_images_for_fid/class000_Cable_00066_g00357.png,dataset_v3_patches/train/Cable/__JH2023-4_1678432161668_y292_aug1.jpg,0.041478
